title,exercise_path,url,target_muscles,synergist_muscles,stabilizer_muscles,description,equipment
Triceps Extension - Overhead (Dumbbell),/exercise/384,https://app.strength.muscleandmotion.com/exercise/384,"Triceps Brachii; Triceps Brachii, Long Head",Anconeus,Abdominal Muscles; Latissimus Dorsi; Subscapularis; Infraspinatus; Teres Major; Multifidus; Transversus Abdominis; Pelvic Diaphragm,The hand that is not working and serves as support will hold the active arm in the area of the triceps brachii and not near the biceps brachii. The reason: gripping the area of the biceps brachii impairs performance of the exercise in the full range of movement. This exercise places the shoulder joint in a position that makes the joint vulnerable to injury.,Dumbbell
Triceps Extension - Overhead (High Cable),/exercise/383,https://app.strength.muscleandmotion.com/exercise/383,Triceps Brachii,Anconeus,Abdominal Muscles; Latissimus Dorsi; Lower Trapezius; Subscapularis; Infraspinatus; Teres Minor; Multifidus; Transversus Abdominis; Pelvic Diaphragm,"Performing hyperextension of the shoulder with elbow flexion (see the Kickback exercise) will cause a condition of active insufficiency, in other words, a condition in which the muscle is weak and neutralized. Therefore, in this condition, the other heads will have to deal with the load and become more active.",Cable
Triceps Extension Head Below Bar (Bodyweight),/exercise/877,https://app.strength.muscleandmotion.com/exercise/877,Triceps Brachii,Anconeus,Latissimus Dorsi; Teres Major; Teres Minor; Subscapularis; Infraspinatus; Abdominal Muscles,Step both feet back so that your body is at about a 60 degree angle with the floor. Keep your body straight but bend at the elbows and lower your head below the bar. Now push yourself back up by using your triceps and locking your arms out.,Bodyweight
Triceps Extension Head Below Bench (Bodyweight),/exercise/879,https://app.strength.muscleandmotion.com/exercise/879,Triceps Brachii,Anconeus,Latissimus Dorsi; Abdominal Muscles; Teres Major; Teres Minor; Subscapularis; Rectus Femoris; Iliacus; Psoas Major; Serratus Anterior,Step both feet back so that your body is at about a 60 degree angle with the floor. Keep your body straight but bend at the elbows and lower your head below the bench. Now push yourself back up by using your triceps and locking your arms out.,Bench; Bodyweight
Triceps Extension Head to Bench (Bodyweight),/exercise/881,https://app.strength.muscleandmotion.com/exercise/881,Triceps Brachii,Anterior Deltoid; Anconeus,Serratus Anterior; Abdominal Muscles; Iliacus; Psoas Major; Erector Spinae; Diaphragm; Quadriceps Femoris,"Keep your body straight, beginning in a plank position, hands on the bench at shoulder width, feet on the floor. Bend the elbows and keep them close to the body. Bring the chest close to the bench and then push back up until elbows are straightened.",Bench; Bodyweight
"Triceps Kick Back, Advanced Variation",/exercise/387,https://app.strength.muscleandmotion.com/exercise/387,Triceps Brachii; Abdominal Muscles; Multifidus; Transversus Abdominis; Pelvic Diaphragm,Anconeus,Latissimus Dorsi; Abdominal Muscles; Erector Spinae; Gluteus Maximus; Posterior Deltoid,"Triceps Kick-back, Advanced Variation This sitting position increases the load on the triceps and activates additional stabilizers, among them the hip extensors. Pin the elbows to the body and keep the back straight. Push the scapula downward and pin them to the spine.",
Triceps Kick-back (Offset Stance),/exercise/386,https://app.strength.muscleandmotion.com/exercise/386,,Anconeus,Latissimus Dorsi; Erector Spinae; Gluteus Maximus; Posterior Deltoid,,
Triceps Kick-back (Resistance Band),/exercise/389,https://app.strength.muscleandmotion.com/exercise/389,Triceps Brachii,Anconeus,Posterior Deltoid; Abdominal Muscles; Multifidus; Transversus Abdominis; Pelvic Diaphragm,"Triceps Kickback (Resistance Band) It is important to hold the band under the front foot and not the rear foot. The reason: From the biomechanical standpoint as long as the band is at an angle to the forearm, rotation force is working on the elbow.",Resistance Band
Triceps Kickback (Cable),/exercise/446,https://app.strength.muscleandmotion.com/exercise/446,Triceps Brachii,Anconeus,Posterior Deltoid; Latissimus Dorsi; Trapezius; Rhomboid Muscles; External Oblique; Erector Spinae,The Triceps Kickback with Cable The cable tricep kickback is an isolation exercise used to strengthen your triceps brachii. Slowly extend your elbow without moving your shoulder and repeat for the required set of repetitions.,Cable
Triceps Kickback (Dumbbell),/exercise/388,https://app.strength.muscleandmotion.com/exercise/388,"Triceps Brachii; Triceps Brachii, Lateral Head; Triceps Brachii, Medial Head",Anconeus,Abdominal Muscles; Posterior Deltoid; Multifidus; Transversus Abdominis; Trapezius; Serratus Anterior; Posterior Deltoid; Pelvic Diaphragm,,Dumbbell
Triceps Press (Offset Stance),/exercise/391,https://app.strength.muscleandmotion.com/exercise/391,Triceps Brachii,Anconeus,Abdominal Muscles; Anterior Deltoid; Multifidus; Transversus Abdominis; Pelvic Diaphragm; Subscapularis; Infraspinatus; Teres Minor; Latissimus Dorsi; Inferior Gemellus (Hip Rotators) (5),"The core muscles are intensively active in all exercises in which the entire body serves as a ""bridge"" between arms and legs.",
Triceps Push-down (Cable),/exercise/392,https://app.strength.muscleandmotion.com/exercise/392,Triceps Brachii,Anconeus,Abdominal Muscles; Latissimus Dorsi; Lower Trapezius; Subscapularis; Infraspinatus; Teres Minor; Multifidus; Transversus Abdominis; Pelvic Diaphragm,,Cable
Triceps Push-down (Machine),/exercise/393,https://app.strength.muscleandmotion.com/exercise/393,Triceps Brachii,Anconeus,Abdominal Muscles; Latissimus Dorsi; Lower Trapezius; Subscapularis; Infraspinatus; Teres Minor; Multifidus; Transversus Abdominis; Pelvic Diaphragm,"The Triceps Push-down with Machine is an isolated exercise for the triceps brachii. Sit in the triceps push-down machine and adjust the chair height. Keep your elbows tucked close to your body, extend your elbows, and push the handles down. Slowly return your hands back to the starting position and repeat for the desired number of repetitions.",Machine
Tripod Foot,/exercise/707,https://app.strength.muscleandmotion.com/exercise/707,,,,Done correctly there should be pressure on all three aspects of the Tripod foot. Tighten the arch by pressing the toes “down and back” without shifting the weight out of the heel.,
Trunk Horizontal Rotation Side to Side (Cable),/exercise/674,https://app.strength.muscleandmotion.com/exercise/674,External Oblique; Internal Oblique; Hip Adductor Muscles,Multifidus; Rotatores; Gluteus Maximus; Hip Adductor Muscles; Gluteus Medius; Gluteus Minimus; Hip External Rotators (Deep Layer),Trapezius; Pectoralis Major; Rhomboid Muscles; Erector Spinae; Abdominal Muscles,"Keeping arms straight, rotate the torso until cable makes contact with the shoulder. Return to original position and rotate to the opposite side.",Cable
Trunk Horizontal Rotations (Resistance Band),/exercise/394,https://app.strength.muscleandmotion.com/exercise/394,External Oblique; Internal Oblique,Multifidus; Rotatores,Pelvic Diaphragm; Transversus Abdominis; Erector Spinae,Sit holding the resistance band next to your chest.,Resistance Band
Tuck Dragon Flag,/exercise/818,https://app.strength.muscleandmotion.com/exercise/818,Latissimus Dorsi; Rectus Abdominis,Pectoralis Major; Teres Major; External Oblique; Internal Oblique,Iliacus; Psoas Major; Sartorius; Triceps Brachii,"With the tuck leg dragon flag, you can adjust the load easily: in the beginning, the bent legs are very close to your chest, but eventually, you should be able to straighten them and get it closer to your straight legs.",
Tuck Front Lever,/exercise/1215,https://app.strength.muscleandmotion.com/exercise/1215,Latissimus Dorsi; Rectus Abdominis,"Teres Major; Triceps Brachii, Long Head; Posterior Deltoid; Pectoralis Major; Abdominal Muscles; External Oblique; Internal Oblique",Iliacus; Psoas Major; Sartorius; Tensor Fasciae Latae; Trapezius; Rhomboid Muscles,"The Tucked Lever mimics the whole front lever, except the legs are tucked up to the chest (the hips and shoulders remain in horizontal alignment). Bending the legs shortens the torque arm and will significantly reduce the load on the active muscles. Start by grasping the bar with an overhand grip. Flex your hip and knee and pull your legs and hips up while leaning back. Your back should be rounded, and your body tucked into as much of a ball as possible. Although round, you want your back approximately parallel to the ground. To make this exercise harder, maintain your back in a natural position.",
Tuck L-Sit,/exercise/999,https://app.strength.muscleandmotion.com/exercise/999,Psoas Major; Iliacus; Lower Trapezius; Rectus Abdominis,Sartorius; Tensor Fasciae Latae; Latissimus Dorsi; External Oblique; Internal Oblique,Abdominal Muscles; Psoas Major; Iliacus; Lower Trapezius; Latissimus Dorsi; Triceps Brachii; Deltoid,"The Tuck L-Sit is a static hold meant to strengthen the abdominal muscles and improve the arms' ability to support the body when they’re straight. Place your hands on the floor close to your hips, and with straight legs disconnect the feet from the floor by bringing the knees up. Hold this position. This variation is a progression to the full L-Sit with two straight legs. The bent legs reduce the load on the abdominal muscles due to a shorter lever, while straightening the legs increases the load and creates a challenge for less flexible trainees.",
Tuck L-Sit (Parallettes),/exercise/973,https://app.strength.muscleandmotion.com/exercise/973,Abdominal Muscles; Iliacus; Psoas Major,Pectoralis Major (Respiration); Pectoralis Minor (Respiration); Triceps Brachii,Lower Trapezius; Latissimus Dorsi; Deltoid,"The Tuck L-Sit is a static hold meant to strengthen the abdominal muscles and improve the arms’ ability to support the body when they’re straight. Hold the parallettes with straight arms, disconnect the feet from the floor by bringing the knees up and hold. This variation is a progression to the full L-Sit with two straight legs. The bent legs reduce the load on the abdominal muscles due to a shorter lever, while straightening the legs increases the load and creates a challenge for less flexible trainees.",Parallettes
Tuck L-Sit Back to Wall (Bodyweight),/exercise/1380,https://app.strength.muscleandmotion.com/exercise/1380,Abdominal Muscles; Iliacus; Psoas Major; Lower Trapezius,Pectoralis Major (Respiration); Pectoralis Minor (Respiration); Latissimus Dorsi (Respiration); Pectoralis Major,Deltoid,"The Tuck L-Sit Back to Wall is a static hold meant to strengthen the abdominal muscles and improve the arms' ability to support the body when they’re straight. Place your hands on the floor close to your hips, and while keeping your arms straight, lift your feet off the floor by bringing your knees up. The back of your head should be touching the wall. This variation is a progression to the full L-Sit with straight legs.",Bodyweight
Tuck L-Sit to V-Sit (Parallettes),/exercise/1404,https://app.strength.muscleandmotion.com/exercise/1404,Rectus Abdominis; Iliacus; Psoas Major; Lower Trapezius,Internal Oblique; External Oblique; Pectoralis Minor (Respiration); Pectoralis Major; Latissimus Dorsi (Respiration); Quadriceps Femoris,Triceps Brachii; Deltoid,"The Tuck L-Sit to V-Sit on parallettes is an exercise designed to strengthen the abdominal muscles and improve arm strength by transitioning between two static holds. The lower body and torso move from one position to another, making your core muscles work harder to stabilize the trunk. Hold the parallettes with straight arms and disconnect the feet from the floor by bringing the knees up to reach the Tuck L-Sit position. Then go into a V-Sit position by extending your knees and lifting your legs up until you achieve the 'V' shape.",Parallettes
